ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
2.6291746,10.9748617,55374.9667439,10.38,0.029,9.461,0.019,11169.939,296.013,10365.262,181.759,0000,1.0,79.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55375.0328322,10.33,0.022,9.368,0.027,11694.849,234.925,11292.595,278.891,0000,1.0,60.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55374.5036172,10.352,0.021,9.424,0.022,11460.99,225.629,10726.183,216.381,0000,1.0,35.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55374.9666166,10.362,0.029,9.461,0.026,11351.263,299.423,10365.78,247.446,0000,1.0,80.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55374.7682246,10.361,0.024,9.391,0.021,11363.832,246.42,11054.389,212.861,0000,1.0,112.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55374.9005284,10.354,0.025,9.393,0.021,11437.324,262.234,11035.575,212.193,0000,1.0,101.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55374.6359208,10.339,0.019,9.423,0.021,11602.202,204.983,10734.677,206.121,0000,1.0,70.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55375.0989204,10.372,0.032,9.408,0.022,11246.507,335.866,10880.88,225.447,0000,1.0,45.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55554.7684816,10.342,0.022,9.506,0.026,11565.05,235.683,9945.25,235.929,0000,1.0,20.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55375.1651359,10.406,0.022,9.419,0.017,10908.205,220.71,10772.329,167.646,0000,1.0,36.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55375.2312241,10.348,0.023,9.411,0.02,11500.605,246.212,10851.147,204.626,0000,1.0,29.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55375.3635278,10.329,0.025,9.398,0.023,11703.574,269.466,10985.364,228.032,0000,1.0,18.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55375.4958322,10.351,0.024,9.442,0.02,11473.696,256.001,10544.36,190.917,0000,1.0,34.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55553.9088215,10.214,0.019,9.444,0.031,13008.926,226.144,10529.695,298.594,0000,0.5,18.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55554.0409986,10.335,0.025,9.428,0.025,11639.591,263.235,10686.394,243.988,0000,1.0,43.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55554.1733029,10.325,0.021,9.455,0.021,11748.569,227.686,10421.064,201.288,0000,1.0,83.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55554.2393914,10.34,0.036,9.403,0.019,11591.989,389.604,10929.839,195.048,0000,1.0,104.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55554.3056073,10.406,0.025,9.415,0.026,10903.587,250.009,10812.89,260.486,0000,1.0,125.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55554.3716958,10.367,0.022,9.368,0.02,11300.734,225.833,11297.147,207.227,0000,1.0,106.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55554.4377843,10.304,0.032,9.395,0.022,11973.198,354.389,11019.813,221.36,0000,1.0,85.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55554.5040002,10.323,0.022,9.459,0.023,11765.227,243.039,10386.52,222.576,0000,1.0,65.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55554.6361772,10.339,0.024,9.412,0.018,11603.162,255.195,10842.007,183.995,0000,1.0,36.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55554.6363045,10.301,0.027,9.387,0.022,12011.611,296.973,11097.194,229.756,0000,1.0,37.0,0000,1,allwise,,,,,,,,,,,
2.6291746,10.9748617,55375.0990477,10.387,0.028,9.44,0.026,11099.752,285.095,10568.369,251.922,0000,1.0,44.0,0000,1,allwise,,,,,,,,,,,
2.629134,10.974761,58822.57418803,,,,,,,,,0000,0.0,74.41699981689453,11,1,neowise,10.891,0.018,9.818,0.017,59.2,65.3,8873.2,149.89,8513.6,130.29,AA
2.6291473,10.9748354,58822.44340968,,,,,,,,,0000,1.0,114.42900085449219,11,1,neowise,10.784,0.02,9.822,0.019,53.0,58.4,9786.6,184.5,8485.6,145.35,AA
